issn,count,cited,citation
1040-2446,1380,823,5572
"0021-9525,1540-8140",1378,816,10481
1465-3249,1378,472,2772
1726-4189,1375,1177,7284
1471-2474,1374,979,3926
1541-9312,1371,309,572
"0049-6979,1573-2932",1370,938,3144
0309-1740,1369,856,5666
0265-0215,1369,395,1627
0031-9384,1369,1116,5748
2324-9250,1368,96,184
0169-5002,1367,677,4510
"2219-6048,2075-9908",1365,2,2
0022-3093,1365,1105,5148
1166-7087,1364,231,462
0275-004X,1364,838,4955
0041-0101,1364,637,2884
1096-7192,1363,471,2790
"1346-9843,1347-4820",1362,976,5764
0019-1035,1359,1217,8634
2078-5135,1359,344,714
2169-7574,1359,382,1020
1756-4646,1357,1178,8056
"1759-8478,1759-8486",1356,552,2314
1389-9457,1352,660,4244
"1057-7149,1941-0042",1352,1169,11542
"1525-7797,1526-4602",1351,1277,13290
"1545-598X,1558-0571",1346,1049,6147
0031-0182,1345,1086,5400
0169-555X,1344,1141,7182
1053-0770,1344,622,2232
0147-6513,1342,1202,8822
2148-2489,1342,5,5
0085-2538,1341,1017,10420
"0018-9286,1558-2523",1341,1037,10104
2150-7511,1340,1134,10677
0022-4596,1340,1161,5730
"2164-5515,2164-554X",1338,892,3542
0143-7208,1338,1237,8534
"1010-7940,1873-734X",1337,817,4022
"2045-435X,2045-4368",1336,199,424
1547-5271,1334,913,7491
"0582-4052,1347-4219",1332,10,11
1548-7741,1332,206,264
1031-3613,1331,424,1229
"0012-1797,1939-327X",1331,1082,10989
1861-4728,1330,987,7671
0962-1083,1328,1194,11912
0149-2918,1326,596,3109
0969-8043,1326,821,2568
0009-8981,1325,1063,5447
"0960-8923,1708-0428",1323,931,5076
"1616-2455,2196-6427",1322,20,21
"0031-9015,1347-4073",1322,903,3802
1081-1206,1319,617,3052
0749-8063,1319,837,6271
"0018-9499,1558-1578",1316,865,3042
0041-1132,1316,917,4989
1748-6815,1313,740,2712
"0022-3050,1468-330X",1312,456,3088
1473-3099,1311,818,13320
"0922-6168,1568-5675",1309,778,1954
1567-5769,1308,1103,5765
2211-2855,1308,1235,23715
"0007-0610,1476-5373",1308,468,1240
1617-7061,1306,178,263
"0957-0233,1361-6501",1305,828,2559
0014-3057,1305,1148,8058
"0092-7872,1532-4125",1303,411,708
0385-2407,1302,684,1952
2163-0755,1302,940,5970
1006-4125,1301,27,29
"0021-9584,1938-1328",1301,876,3235
0022-3549,1301,1097,6317
1876-1070,1301,1102,7514
"0953-4075,1361-6455",1298,924,3786
2347-176X,1297,0,0
0306-4530,1295,845,7299
2187-9761,1294,296,413
0094-5765,1291,901,3908
1878-5352,1289,861,3551
"1319-8025,2191-4281",1288,749,2090
"0007-1145,1475-2662",1288,1011,6312
"0018-9480,1557-9670",1287,939,5668
0109-5641,1287,524,3977
0167-8760,1287,415,2321
1004-924X,1286,177,214
0268-005X,1284,1213,11771
0026-2714,1284,803,2894
"0889-2229,1931-8405",1284,493,1702
0269-2813,1283,908,8038
0891-3668,1282,922,4549
"1543-8384,1543-8392",1282,1200,9879
"0032-5791,1525-3171",1281,901,3713
"0018-8158,1573-5117",1279,907,2872
0165-1765,1278,626,1492
0005-1098,1278,1073,12671
"0020-7748,1572-9575",1276,612,1780
0034-4257,1274,1158,13481
0198-8859,1274,413,1669
2296-7745,1273,347,1394
0363-9762,1272,770,2539
"1437-062X,2195-5166",1271,12,12
2351-9789,1271,404,685
0378-3820,1270,1151,8845
0024-3205,1269,1042,5479
2320-4664,1268,112,136
1029-242X,1266,327,624
"0941-0643,1433-3058",1265,701,2787
0006-3207,1265,1002,8151
"1066-5285,1573-9171",1264,526,1121
"0144-8420,1742-3406",1263,627,1468
"2319-7692,2319-7706",1261,66,79
"1559-8977,2155-756X",1261,2,3
"0264-9381,1361-6382",1257,981,6381
0277-2116,1256,675,3701
0956-053X,1255,1125,8642
1673-5374,1254,759,2314
"0167-6806,1573-7217",1253,981,5893
"2040-8978,2040-8986",1252,897,3140
0040-1951,1252,1038,5272
0005-2728,1252,505,4488
"1311-8080,1314-3395",1251,95,153
1684-5315,1248,429,861
"0892-6638,1530-6860",1248,1020,7285
"1436-123X,2196-6397",1247,11,16
1070-9878,1246,770,3147
0960-1643,1244,415,1314
0379-0738,1244,928,4478
"0163-3864,1520-6025",1244,1091,6796
0165-5728,1243,531,2820
"1432-7643,1433-7479",1243,700,2374
"1882-0778,1882-0786",1243,917,4704
0002-9394,1242,891,6645
0028-3908,1241,1155,10867
"0962-8436,1471-2970",1241,1143,11239
1099-4300,1240,871,3768
"0740-3224,1520-8540",1240,909,3729
"0304-8608,1432-8798",1240,837,3504
2197-425X,1239,132,325
"0036-0244,1531-863X",1238,557,1087
"0004-640X,1572-946X",1238,810,3174
0025-7753,1238,432,1112
0301-679X,1237,1065,5642
1600-5368,1237,517,955
0039-6060,1237,927,5802
"1679-0359,1676-546X",1235,103,119
0269-9370,1232,962,7457
"0884-8734,1525-1497",1232,676,3388
"2042-6496,2042-650X",1231,1058,6539
"0007-4888,1573-8221",1231,484,884
"0964-6906,1460-2083",1229,1038,8367
1043-4666,1229,646,3544
1567-1348,1229,1008,5406
0969-806X,1227,877,3263
1445-1433,1227,430,979
"1432-9026,2196-5676",1226,7,9
"1464-360X,1101-1262",1225,45,298
"1015-8987,1421-9778",1223,899,3207
0042-6822,1222,1007,6138
"1687-8434,1687-8442",1221,534,1336
"0002-9165,1938-3207",1220,985,9827
0366-6999,1220,580,1167
0020-7683,1220,996,5382
"1542-1406,1563-5287",1219,490,979
0033-2097,1218,61,86
0021-9355,1214,736,7361
0022-0396,1214,818,3553
"1063-7834,1090-6460",1211,665,1678
"2005-4297,2005-4297",1211,171,240
2231-0843,1210,196,277
0010-7824,1210,491,2582
0889-1591,1208,699,7061
0304-4017,1207,954,4931
0737-0806,1206,348,819
"1107-3756,1791-244X",1205,419,638
2352-3409,1205,556,946
"0143-005X,1470-2738",1205,471,2545
"0002-8762,1937-5239",1204,15,26
0001-1541,1203,860,5117
2169-3536,1203,744,4181
"2312-8372,2226-3780",1202,5,6
1471-2393,1202,896,4318
"0002-9270,1572-0241",1201,666,7367
1097-2765,1200,1052,22260
0090-6778,1200,944,7780
1386-9477,1200,905,4895
1933-1711,1198,309,1491
1943-0655,1197,811,2906
1058-2746,1196,808,5205
0167-9317,1195,915,3789
"0741-3106,1558-0563",1194,967,6219
"2156-7085,2156-7085",1194,964,5119
"2326-6066,2326-6074",1194,363,4026
0093-691X,1193,943,3630
1818-2259,1192,78,115
1439-4227,1192,865,4989
1004-4213,1190,44,46
0148-7043,1189,744,2655
0025-6552,1189,15,15
"0315-162X,1499-2752",1188,814,4133
"2087-278X,2302-4046",1188,100,127
0753-3322,1187,885,3261
"1541-7786,1557-3125",1187,376,2431
1873-9946,1187,328,2545
"0195-6108,1936-959X",1187,843,4972
"0022-1155,0975-8402",1185,740,2242
1413-8123,1184,535,1254
1359-6462,1180,1021,7499
0730-7268,1180,924,5072
0169-1317,1179,1028,6301
1479-5876,1179,958,5721
1566-7367,1177,1078,7464
1042-0991,1177,17,19
0924-0136,1175,1046,6652
1663-9812,1175,850,5190
1538-4721,1174,322,1288
2073-4441,1174,857,2983
1381-1169,1174,1045,8762
"0946-7076,1432-1858",1173,552,1391
"0884-2914,2044-5326",1170,785,2994
"1554-8929,1554-8937",1169,960,8529
1387-7003,1168,967,3795
"1537-5927,1541-0986",1168,88,580
"1387-2877,1875-8908",1168,857,2945
0011-9164,1168,1070,11387
"0009-7330,1524-4571",1167,875,13972
0028-3932,1166,984,6202
"1110-757X,1687-0042",1164,464,946
0011-9059,1163,635,1617
0370-1972,1162,654,2489
0145-2126,1162,526,2337
0021-9614,1161,987,5483
"0363-5465,1552-3365",1159,977,10725
1354-1013,1158,939,12505
0007-1188,1158,1038,10318
1812-2116,1157,426,818
0003-2409,1156,676,3868
1078-5884,1155,543,3391
"0019-9567,1098-5522",1154,953,4823
0166-218X,1153,642,1815
1471-244X,1153,883,4636
1177-8881,1152,604,2102
2168-6165,1152,651,4396
1043-3074,1152,598,2664
"0194-911X,1524-4563",1152,873,7232
"0032-079X,1573-5036",1151,895,4444
2213-3437,1150,941,5522
"1942-0900,1942-0994",1150,918,4969
1091-8531,1150,264,676
0002-9610,1149,804,3962
0167-8809,1148,975,7184
2168-6068,1148,723,3713
1610-0379,1147,123,249
2222-6990,1146,46,50
2234-4772,1146,176,226
"0002-0729,1468-2834",1146,328,2039
"0916-8532,1745-1361",1146,336,796
0013-9351,1145,979,7179
0260-8774,1144,1004,7074
"0959-3330,1479-487X",1144,749,2316
1367-9120,1144,940,5216
"0301-4851,1573-4978",1142,870,3671
1464-4096,1141,850,5935
1198-743X,1140,952,8224
"0007-1161,1468-2079",1139,823,4344
"0013-8266,1477-4534",1139,43,58
1684-1182,1139,357,1121
1664-8021,1138,879,5830
0170-4214,1138,491,1232
"0340-5354,1432-1459",1138,841,4116
1752-1947,1137,562,1151
0360-1323,1136,1015,8363
0278-6915,1135,950,7201
0042-207X,1134,898,3771
0002-936X,1133,135,382
"1070-9908,1558-2361",1133,875,5174
0012-9658,1133,891,7901
0264-9993,1132,865,3615
1040-0397,1130,830,4054
0960-9776,1129,383,1878
1748-9326,1127,934,7168
"1590-1874,1590-3478",1125,723,2262
"0887-6177,1873-5843",1125,208,689
0965-2140,1123,839,5630
"0022-0957,1460-2431",1122,991,8002
2221-3783,1121,50,54
0379-6779,1120,918,4837
0165-1684,1120,963,6866
0301-472X,1120,282,1304
"1432-8488,1433-0768",1119,825,3294
0263-8762,1119,886,4916
"0341-2695,1432-5195",1117,853,3699
"0932-0067,1432-0711",1115,751,2657
"0217-751X,1793-656X",1113,671,3053
"0916-8508,1745-1337",1113,346,663
"1610-2940,0948-5023",1113,761,2684
1001-4322,1112,69,88
0173-0835,1112,876,4573
1751-6161,1111,960,5964
"0033-3158,1432-2072",1110,919,5240
"0264-6021,1470-8728",1110,932,6027
0148-639X,1108,742,3384
0973-1245,1107,111,149
"1861-9002,1861-9010",1107,23,29
1878-0296,1107,414,843
"0887-6924,1476-5551",1103,914,8071
"8750-7587,1522-1601",1103,792,3718
1531-7129,1101,712,3056
"2469-9985,2469-9993",1100,744,2363
0920-4105,1100,823,3518
0803-5253,1098,715,2866
"0278-2715,1544-5208",1097,727,5447
2044-6055,1095,974,5231
"0031-9228,1945-0699",1095,156,675
0961-9534,1093,947,6743
0036-8733,1092,173,403
0304-3959,1091,882,7580
0103-8478,1090,399,667
"1556-7036,1556-7230",1090,412,836
0009-2541,1090,885,5883
"0363-6135,1522-1539",1089,834,4130
2162-402X,1086,827,4367
0009-9120,1085,683,3050
1546-1440,1085,614,2478
1934-7685,1085,3,4
8756-3282,1083,861,6814
"2372-4501,1084-0613",1083,60,87
"0143-1161,1366-5901",1082,820,3000
"0937-941X,1433-2965",1082,773,4438
"1046-6673,1533-3450",1082,944,9371
1499-2671,1082,247,783
0022-1147,1081,826,3445
"0749-0208,1551-5036",1081,498,1118
"0094-3061,1939-8638",1080,24,34
0362-1340,1079,285,1439
"0256-1115,1975-7220",1078,782,2890
0887-624X,1077,810,4611
0161-5505,1077,919,8147
"0915-1559,1347-5460",1076,695,2189
0272-6386,1075,804,7494
"0217-9849,1793-6640",1075,421,994
1662-5153,1074,912,5473
"0002-9173,1943-7722",1074,464,2139
"0340-8078,2196-6354",1072,1,1
1440-2440,1072,418,2585
0720-048X,1071,867,4816
"1355-008X,1559-0100",1071,780,3179
0043-3144,1071,41,53
"0009-3130,1573-8388",1070,391,747
"0001-6268,0942-0940",1070,614,2234
1867-8610,1070,306,491
0277-3791,1068,935,8248
"0306-0012,1460-4744",1064,1050,75427
"2329-6933,2325-6621",1064,636,3575
2051-1426,1063,295,1598
"1745-2473,1745-2481",1062,655,15819
0899-8418,1062,693,3063
0167-2738,1062,896,4684
"1750-9637,1750-9645",1060,50,68
0367-6765,1058,12,14
0303-7207,1058,913,6185
"0719-5249,0716-0267",1056,1,2
0016-7061,1056,930,6304
"1047-4838,1543-1851",1056,665,3060
0303-8467,1055,711,2402
1477-7819,1054,703,2296
"0390-6078,1592-8721",1054,829,5675
1007-5704,1054,911,6247
"0920-4741,1573-1650",1054,871,4506
"0016-8033,1942-2156",1053,801,5045
2300-1909,1053,246,414
"0770-3198,1434-9949",1053,737,2655
0378-1135,1053,858,4796
0091-7435,1052,872,5446
0045-7825,1050,894,7847
1011-1344,1050,870,4920
"1070-4280,1608-3393",1049,466,1004
"0899-823X,1559-6834",1048,744,3875
0378-7796,1048,817,4689
1874-3919,1047,981,7237
1001-8417,1047,894,3965
0950-7051,1047,920,7860
0973-1482,1047,370,723
"0018-7070,1876-5912",1047,99,135
"1087-0156,1546-1696",1045,794,22932
"0026-4075,1930-613X",1045,436,1143
"2333-9721,2333-9705",1044,33,34
0020-7292,1044,636,2154
"2072-1439,2077-6624",1043,184,266
"1345-9678,1347-5320",1043,527,1365
0277-3740,1042,722,3188
1687-1847,1042,352,819
"0009-840X,1464-3561",1041,11,134
0163-6804,1041,765,16121
0168-1605,1041,922,6708
0925-5273,1040,894,8177
2365-6549,1040,472,858
2147-2971,1039,8,9
"0963-8288,1464-5165",1038,604,1841
0898-1221,1038,704,2821
1742-5468,1038,717,3368
1059-1524,1037,906,5547
0001-8708,1036,663,2222
"0361-0918,1532-4141",1036,310,607
"1754-5692,1754-5706",1035,1021,55482
"2278-8727,2278-0661",1035,92,146
0378-5122,1034,517,3078
"0014-4819,1432-1106",1033,724,2926
1664-2295,1032,608,3465
0010-2180,1032,918,7747
"0966-0461,2052-2819",1032,200,354
1996-0808,1031,369,647
0003-2697,1031,849,4060
0883-9441,1030,708,3481
"0163-4984,1559-0720",1030,741,2898
"1226-7988,1976-3808",1029,420,899
"0149-6395,1520-5754",1028,591,1636
0038-0717,1028,915,8568
"1916-9744,1916-9736",1027,330,530
"0953-8585,2058-7058",1026,15,22
0264-8377,1025,856,5328
1064-7481,1025,443,2743
0022-3042,1025,896,5815
2159-3930,1025,816,3965
0022-2836,1024,885,7270
2331-8325,1023,125,172
1615-9853,1023,834,5659
0149-2136,1022,73,99
1742-464X,1022,851,5608
"0916-8451,1347-6947",1022,648,1741
"0928-0707,1573-4846",1021,677,2322
"2074-1804,2074-1812",1020,416,990
0306-9877,1019,604,1814
2405-6014,1019,165,355
0003-3472,1018,818,4872
"0018-9456,1557-9662",1017,803,4696
0044-2313,1016,706,2287
"1613-3633,2196-5692",1016,3,3
0024-4937,1016,877,5979
"1437-4331,1434-6621",1015,653,2618
"0969-0239,1572-882X",1014,853,5025
"1357-0560,1559-131X",1013,786,3323
"0217-9792,1793-6578",1012,446,1228
"0012-186X,1432-0428",1012,853,7138
"0721-832X,1435-702X",1011,619,2383
"2325-9671,2325-9671",1011,208,585
0889-5406,1010,441,1633
2196-7350,1010,718,4396
2319-7242,1009,5,5
"0167-594X,1573-7373",1009,768,3648
0277-6715,1008,608,2463
2210-271X,1008,738,2790
"1084-7529,1520-8532",1007,690,2568
"0268-3369,1476-5365",1007,699,3497
1757-899X,1007,314,581
"0026-8976,1362-3028",1006,664,2867
0005-2736,1006,851,6152
1799-2591,1005,95,118
"1011-8934,1598-6357",1005,654,2242
1867-8548,1004,737,3020
1010-5182,1004,781,3152
0012-1606,1004,825,4685
1065-9471,1003,796,6633
0099-2399,1003,865,5632
"1350-4851,1466-4291",1003,363,682
"1462-0324,1462-0332",1002,671,3688
1746-6148,1002,692,2664
1538-7933,1001,795,6024
"0931-0509,1460-2385",1001,707,4423
0950-382X,1001,845,5296
0272-7714,1001,808,4022
1663-4365,999,724,4963
2168-6149,999,634,7925
"1062-8738,1934-9432",998,297,504
0923-1811,996,373,1880
0001-4575,996,816,4650
1935-861X,995,463,3892
"1758-678X,1758-6798",995,756,14628
1775-8785,995,10,10
1177-5483,994,458,1359
0021-8723,994,34,59
0885-3185,994,783,7890
"0264-0414,1466-447X",994,621,2127
1044-5803,994,843,4541
0022-152X,994,594,1344
"0008-6363,1755-3245",994,329,1524
1359-835X,992,892,7183
"2281-3993,2281-4612",992,16,19
1053-1807,992,671,3751
1462-2912,992,669,5798
"0303-8300,1573-0921",991,514,1460
"1079-5642,1524-4636",991,842,6978
"0021-3640,1090-6487",990,638,2143
"0354-9836,2334-7163",989,277,698
"2042-4868,2042-4876",989,51,62
0103-5053,988,171,206
"0970-020X,2231-5039",987,210,384
0304-3800,987,794,4352
"0950-2688,1469-4409",987,624,2273
0091-6765,986,704,3486
1750-5836,984,831,6217
"0893-133X,1740-634X",984,868,7960
"0306-8919,1572-817X",983,448,1154
2190-5444,982,599,2819
"0095-8972,1029-0389",982,698,2626
0141-3910,981,856,5728
0009-9260,981,544,2461
"1742-206X,1742-2051",981,820,4316
"0007-1285,1748-880X",980,664,2575
"0940-8789,2192-869X",980,4,4
1930-7381,979,746,4834
0278-4297,979,576,1952
1090-0233,979,705,2911
0160-6689,979,607,3979
"0001-4842,1520-4898",977,957,37397
0040-6031,977,807,4176
"0021-9193,1098-5530",977,740,3320
"1064-1246,1875-8967",976,407,1160
"1063-7850,1090-6533",976,498,1201
"0016-1128,1468-2931",976,4,5
0550-3213,975,766,6266
0045-7930,974,757,4030
"1090-7165,1573-3254",973,698,3266
1001-0742,973,804,4163
"0300-8177,1573-4919",973,774,3191
0013-9580,972,780,6552
0962-1067,972,579,1692
"2168-2267,2168-2275",972,787,9404
0815-9319,972,690,3623
"1047-3211,1460-2199",972,834,5190
"1998-0124,1998-0000",971,866,10088
0137-2971,971,3,5
"0138-9130,1588-2861",971,692,2795
"1936-9751,1936-976X",971,651,2250
"1368-9800,1475-2727",971,648,2327
0021-9517,970,890,11269
"2158-2742,2158-2750",968,441,967
"0019-5456,0973-7693",967,388,714
2319-2003,967,59,73
0043-1648,966,797,4237
0031-3203,966,873,7438
"1364-503X,1471-2962",966,793,4789
"2308-4944,2409-0085",965,14,19
"0029-5515,1741-4326",965,774,4839
1660-3397,965,843,6327
0300-8932,965,494,2857
0022-1198,964,510,1580
"1063-7842,1090-6525",964,418,965
0022-4073,964,801,4143
1999-4915,964,796,4865
0273-1223,963,695,2240
"0022-3166,1541-6100",960,812,5104
"0954-4062,2041-2983",960,362,704
"1548-7091,1548-7105",958,657,18603
"0273-1223,1996-9732",958,338,599
"0018-9294,1558-2531",958,771,5885
1774-024X,958,655,4405
0375-9474,958,612,2985
"0950-222X,1476-5454",957,568,2151
2168-6254,957,541,5084
"0885-8977,1937-4208",956,770,5254
"0886-2605,1552-6518",956,600,2009
"0001-1452,1533-385X",956,674,3038
1549-9634,956,572,4939
"1063-8210,1557-9999",956,716,2974
"1229-9197,1875-0052",956,642,2002
0040-1625,955,746,4587
2196-0216,955,611,4332
"1479-6694,1744-8301",955,683,2481
2234-943X,955,775,5442
2194-9050,953,266,540
1471-2229,952,853,6274
2052-1219,952,8,10
0253-2786,951,379,871
"0256-7040,1433-0350",951,474,1250
1556-276X,950,880,6377
0953-816X,950,747,4164
"1359-2998,1468-2052",950,362,1605
"0177-798X,1434-4483",950,602,1725
0308-597X,950,761,4118
"1526-2375,1526-4637",949,566,2625
0888-3270,949,827,5749
"1075-2730,1557-9700",949,550,2719
0014-4827,949,812,4977
1525-8610,948,630,5302
"0014-5246,1745-5308",948,8,8
0399-077X,947,169,800
0006-3223,945,801,12645
0022-1112,944,585,2081
"0162-3257,1573-3432",943,743,4295
0147-7447,943,537,1637
0018-2370,942,6,7
0360-8352,942,770,4500
1076-0512,942,525,1896
"1596-9827,1596-5996",942,317,663
"1063-7826,1090-6479",940,447,1021
"0317-1671,2057-0155",940,226,536
0014-2980,940,769,5280
0951-4198,939,686,2814
"0010-3616,1432-0916",939,711,3633
"0937-3462,1433-3023",938,544,2114
"1661-8157,1661-8165",938,59,82
0145-8892,937,392,904
0021-9738,937,845,19815
"0009-9147,1530-8561",936,503,3568
0749-3797,936,787,6073
1444-0903,936,524,1786
1885-5857,935,73,94
"0029-8549,1432-1939",935,782,4296
"1524-9050,1558-0016",935,722,5200
0028-3886,934,270,501
1226-4717,934,115,151
"1434-6060,1434-6079",934,631,2220
"0735-0414,1464-3502",934,244,925
2296-2565,934,468,1800
"0015-0193,1563-5112",933,407,891
0167-7152,933,468,1014
"0021-9983,1530-793X",933,577,1759
2192-2640,932,715,5599
"1464-3685,0300-5771",932,58,1090
1090-3798,932,320,1368
0305-4179,932,639,2715
1066-5099,932,809,8006
0044-4537,931,11,12
"1434-6028,1434-6036",931,605,2247
0021-9541,931,747,4478
0046-8177,931,744,3938
2168-6203,931,601,6212
1538-3881,930,730,4590
"0305-8719,2041-4927",930,386,1064
"0268-1161,1460-2350",930,745,5340
"1027-3719,1815-7920",930,569,2157
0142-1123,929,814,4390
0010-4655,929,717,6844
1534-5807,928,713,9739
"2319-7668,2278-487X",928,48,61
"2338-5022,0854-7823",928,7,8
"1078-8956,1546-170X",927,742,21147
0166-8641,927,330,604
0266-3538,927,865,8021
0016-0032,926,754,5325
"1619-7070,1619-7089",926,676,5726
"1738-9976,1738-9976",926,153,241
1607-7938,926,768,4957
1350-4177,926,873,8800
0361-8609,925,688,4995
1674-4926,925,368,716
0020-7403,925,758,4353
"1026-0226,1607-887X",925,349,651
"1476-1122,1476-4660",925,718,31618
"1070-9622,1875-9203",925,406,836
2072-6651,925,751,4120
2152-7806,924,397,1106
2215-0366,924,429,3963
1055-7903,923,804,6272
1860-5397,922,754,3713
0929-8673,921,652,3739
"1070-4272,1608-3296",921,320,558
"1028-334X,1531-8354",920,353,711
0013-7944,920,719,3423
2213-2600,920,443,6578
0263-8231,920,756,4208
"0091-7613,1943-2682",919,769,5818
2075-2180,918,274,555
0009-2797,917,784,4325
0992-5945,917,3,3
0755-4982,917,369,932
1169-8330,917,22,34
0011-183X,916,538,1731
"0021-5384,1883-2083",916,38,41
0306-5251,916,743,4525
"0029-6651,1475-2719",915,221,1076
0022-4790,915,687,3315
"1526-5161,1536-0075",915,474,1451
0018-1196,914,9,9
"0950-0340,1362-3044",914,478,1475
1389-1286,914,693,4370
1567-1739,914,705,3356
"1531-1309,1558-1764",913,681,3028
2231-2803,913,58,96
0304-4165,912,820,7369
"0960-1317,1361-6439",911,639,2506
"0899-1561,1943-5533",910,588,2070
1364-5072,910,712,3074
"0009-2665,1520-6890",910,889,69961
1007-2276,910,2,2
"0026-3672,1436-5073",910,836,6129
1471-2180,909,735,3785
2049-4394,908,697,4491
1045-9219,908,730,7009
"0179-1958,1432-1262",908,512,1813
"0378-6471,2092-9374",907,209,292
0165-0270,907,728,4031
0362-546X,907,597,1955
"0038-7134,2040-8072",907,10,14
"0922-4742,1876-5823",907,0,0
0340-6245,905,744,5514
0981-9428,905,745,4315
0030-3992,905,753,3724
"0006-3363,1529-7268",903,595,3253
"1340-4210,1881-8161",903,12,14
"1352-4585,1477-0970",903,724,5568
"1931-857X,1522-1466",902,655,3128
0260-6917,901,657,3175
"0939-5555,1432-0584",901,602,2455
"1913-1852,1913-1844",901,133,240
"1073-7928,1687-0247",901,350,644
0006-2952,900,763,6591
"1420-682X,1420-9071",900,788,6491
1862-6351,900,466,1224
0341-8162,900,769,4576
1022-1336,900,644,4952
2160-1836,900,559,2262
"0364-3190,1573-6903",899,668,2958
0167-8655,899,677,3817
"1742-5689,1742-5662",898,766,5517
"0039-7857,1573-0964",898,369,876
"0916-7250,1347-7439",897,514,1223
"2234-7593,2005-4602",896,660,2210
0749-5161,895,326,869
"1091-255X,1873-4626",895,637,3081
0038-1098,895,641,2661
1438-8871,895,774,7010
"0002-9947,1088-6850",894,547,1519
0305-4403,894,804,5677
0300-9440,894,769,4331
"1043-1802,1520-4812",894,777,6543
1328-8067,892,454,1165
0019-5154,891,320,642
0272-9490,891,202,480
0964-8305,891,779,4760
1079-2082,891,362,1047
0960-7412,890,824,8480
0264-8172,890,732,4353
"0030-400X,1562-6911",889,443,998
1433-6510,889,229,362
0306-4603,888,768,4765
1546-0096,888,218,707
0001-706X,887,695,3372
0254-6299,887,385,1207
0165-0378,887,171,782
0030-4034,886,8,10
"1751-8628,1751-8636",886,583,1824
0102-311X,886,371,1093
1758-2652,886,458,1732
1278-3218,885,222,563
1178-2021,885,438,1399
0025-6196,885,543,4768
1471-2202,884,318,1325
0002-9440,884,782,5233
"0144-3615,1364-6893",883,310,602
"1085-9195,1559-0283",883,567,1713
"1916-9728,1916-971X",883,112,154
1545-7885,882,679,9048
0012-365X,881,423,880
1341-8076,881,486,1404
0167-4889,880,768,6305
"0723-8886,1433-8629",880,14,18
0885-6087,880,668,3053
"0947-7047,1862-0760",880,612,2346
0896-8446,880,764,4706
"0254-5330,1572-9338",880,466,1410
0022-3913,878,633,3119
1048-891X,877,590,2699
"2238-5177,0034-8007",877,7,8
2231-0851,877,125,199
"2307-9428,2072-0831",877,1,1
"0739-1102,1538-0254",876,525,1917
"1042-6507,1563-5325",876,371,818
0039-6028,876,669,3011
1355-557X,875,460,975
"1073-5615,1543-1916",875,566,2117
0362-028X,875,626,2351
"1555-9041,1555-905X",875,694,5310
0952-8180,874,414,1066
0001-0782,873,409,2412
0003-4916,873,667,3771
0002-7294,873,122,373
0166-445X,873,755,5962
0022-1236,872,547,1917
"0916-8516,1745-1345",872,316,1150
1357-2725,871,691,4319
0265-931X,871,688,3373
1860-7179,870,595,3456
0730-2312,870,661,3141
0041-008X,869,756,5411
"2320-334X,2278-1684",869,76,105
"0021-1753,1545-6994",869,55,125
1349-2543,869,322,634
2150-8925,868,661,3051
2374-8265,868,37,39
"0022-0469,1469-7637",867,18,20
0190-7409,867,582,2144
0301-4738,867,317,769
"2166-2746,2166-2754",866,581,1947
"2162-8769,2162-8777",866,557,2268
1749-8090,866,330,893
"1388-0209,1744-5116",866,556,1586
"1042-6914,1532-2475",864,640,2777
"0920-8542,1573-0484",864,470,1614
2380-176X,864,3,3
"2047-2404,2047-2412",864,469,3110
0011-2240,864,301,1256
0146-6615,864,605,2066
"1129-2369,1129-2377",864,300,1475
"0918-6158,1347-5215",863,615,2075
"2090-9063,2090-9071",863,398,794
1549-3296,863,722,3490
0145-6008,863,700,3727
0891-4222,862,663,3078
"1094-2912,1532-2386",862,529,1503
1078-1439,862,673,4034
"0962-9343,1573-2649",862,606,2398
2353-074X,861,312,677
1359-5113,861,741,4038
"1755-4535,1755-4543",861,697,4636
0160-4120,860,791,9492
"2327-5952,2327-5960",860,115,174
"1061-4036,1546-1718",859,706,25171
0039-6206,859,12,15
0950-5423,858,653,2483
"1751-8687,1751-8695",858,656,3064
1022-1352,857,597,3126
0012-1622,857,506,2219
0750-7658,857,123,415
2095-3119,857,495,1486
"1432-6981,1436-3771",856,541,1882
1477-5131,856,470,1703
0168-1702,856,703,3600
"0303-402X,1435-1536",856,669,2575
0742-2822,855,435,1175
"1472-0205,1472-0213",855,261,810
"1054-2523,1554-8120",855,567,1612
1879-5226,854,55,79
"1096-6218,1557-7740",854,430,1843
1836-0939,854,391,1243
0196-3570,854,3,3
"1530-437X,1558-1748",854,765,5040
2352-3964,853,578,2626
"0301-1623,1573-2584",853,514,1580
0928-0987,853,748,4994
1471-2148,853,725,4214
1671-7694,853,432,1088
"1549-8328,1558-0806",852,666,4401
0884-0431,852,726,7295
"2162-237X,2162-2388",852,686,8393
1472-6920,851,551,1867
"0137-5881,1861-1664",851,534,1707
0887-8994,851,576,2435
1975-8359,850,110,152
"0217-7323,1793-6632",850,506,1879
1561-7793,849,8,9
0077-8923,849,693,5795
"1751-7311,1751-732X",849,557,1989
"2049-9450,2049-9469",849,121,148
"0035-8843,1478-7083",849,296,718
"1529-2908,1529-2916",848,499,11964
0169-8095,848,750,5104
"0030-6002,1788-6120",847,129,196
"0193-2691,1532-2351",847,490,1686
1054-0725,847,14,16
"1097-6256,1546-1726",846,725,18419
