j,i,d,r
 RIC : Revista de InformaÃ§Ã£o ContÃ¡bil,1982-3967,24-Feb-17,No issue published in 2016
Griot : Revista de Filosofia,2178-1036,24-Feb-17,Journal not adhering to Best practice
Revista Inspirar : Movimento e SaÃºde,2175-537X,24-Feb-17,Journal not adhering to Best practice
Journal of FisheriesSciences.com,1307-234X,24-Feb-17,Suspected editorial misconduct by publisher
Innovare Journal of Life Science,2321-550X,24-Feb-17,Suspected editorial misconduct by publisher
Asian Journal of Pharmaceutical and Clinical Research,0974-2441,24-Feb-17,Suspected editorial misconduct by publisher
International Journal of Pharmacy and Pharmaceutical Sciences,0975-1491,24-Feb-17,Suspected editorial misconduct by publisher
International Journal of Basics and Applied Science,2301-4458,24-Feb-17,Suspected editorial misconduct by publisher
American Journal of Engineering Research,2320-0936,24-Feb-17,Suspected editorial misconduct by publisher
Meta Gene,2214-5400,24-Feb-17,Journal is no longer Open Access
Revista Iberoamericana de las Ciencias BiolÃ_gicas y Agropecuarias,2007-9990,24-Feb-17,Suspected editorial misconduct by publisher
Revista Iberoamericana para la InvestigaciÃ_n y el Desarrollo Educativo,2007-7467,24-Feb-17,Suspected editorial misconduct by publisher
Oral & Maxillofacial Pathology Journal ,2322-0384,24-Feb-17,Journal not adhering to Best practice
Revista Virtual de Estudos da Linguagem,1678-8931,23-Feb-17,Journal not adhering to Best practice
Indian Journal of Pharmaceutical Sciences,1998-3743,23-Feb-17,Suspected editorial misconduct by publisher
Global Journal of Advance Research on Classical and Modern Geometries,2284-5569,7-Feb-17,Suspected editorial misconduct by publisher
International Journal of Advanced Computer Research,2249-7277,23-Feb-17,Suspected editorial misconduct by publisher
International Education and Leadership,2161-7252,23-Feb-17,Suspected editorial misconduct by publisher
International Journal of Engineering Research,2319-6890,23-Feb-17,Suspected editorial misconduct by publisher
Journal of Pharmaceutical and Scientific Innovation,2277-4572,23-Feb-17,Suspected editorial misconduct by publisher
International Research Journal of Pharmacy,2230-8407,23-Feb-17,Suspected editorial misconduct by publisher
International Journal of Research in Ayurveda and Pharmacy,2229-3566,23-Feb-17,Suspected editorial misconduct by publisher
Asian Journal of Current Engineering & Maths,2277-4920,23-Feb-17,Suspected editorial misconduct by publisher
Innovative Journal of Medical and Health Sciences,2277-4939,23-Feb-17,Suspected editorial misconduct by publisher
Innovative Journal of Business and Management,2277-4947,23-Feb-17,Suspected editorial misconduct by publisher
International Journal For Pharmaceutical Research Scholars,2277-7873,23-Feb-17,Suspected editorial misconduct by publisher
"International Journal of Advanced Ayurveda, Yoga, Unani, Siddha and Homeopathy",2320-0251,23-Feb-17,Suspected editorial misconduct by publisher
International Journal of English and Education,2278-4012,23-Feb-17,Suspected editorial misconduct by publisher
The IIOAB Journal,0976-3104,23-Feb-17,Suspected editorial misconduct by publisher
International Journal of Electronics and Computer Science Engineering,2277-1956,23-Feb-17,Suspected editorial misconduct by publisher
Indian Journal of Pharmaceutical and Biological Research,2320-9267,23-Feb-17,Suspected editorial misconduct by publisher
International Journal of Research in Medical Sciences,2320-6071,23-Feb-17,Suspected editorial misconduct by publisher
"International Journal of Reproduction, Contraception, Obstetrics and Gynecology",2320-1770,23-Feb-17,Suspected editorial misconduct by publisher
International Journal of Basic & Clinical Pharmacology,2319-2003,23-Feb-17,Suspected editorial misconduct by publisher
International Bulletin of Drug Research ,2250-3692,23-Feb-17,Suspected editorial misconduct by publisher
International Journal of Electronics Communication and Computer Engineering,2249-071X,23-Feb-17,Suspected editorial misconduct by publisher
International Journal of Engineering Innovations and Research,2277-5668,23-Feb-17,Suspected editorial misconduct by publisher
International Journal of Agriculture Innovations and Research,2319-1473,23-Feb-17,Suspected editorial misconduct by publisher
SKASE Journal of Theoretical Linguistics,1336-782X,23-Feb-17,Journal not adhering to Best practice
Acta Mathematica Universitatis Comenianae,0862-9544,22-Feb-17,Journal not adhering to Best practice
Dejiny,1337-0707,22-Feb-17,Journal not adhering to Best practice
Estudios Constitucionales,0718-0195,22-Feb-17,Journal not adhering to Best practice
Revista Latinoamericana de FilosofÃ_a,0325-0725,22-Feb-17,Journal not adhering to Best practice
TÃ_picos del Seminario: Revista de SemiÃ_tica,1665-1200,22-Feb-17,Journal not adhering to Best practice
Defence Science Journal ,0976-464X,22-Feb-17,Web site URL no longer works
Recent Research in Science and Technology,2076-5061,22-Feb-17,Publisher failed to respond to requests for information
Journal of Phytology,2075-6240,22-Feb-17,Publisher failed to respond to requests for information
Current Botany,2220-4822,22-Feb-17,Publisher failed to respond to requests for information
Socialiniai Tyrimai,1392-3110,22-Feb-17,no licence
Badiou Studies,2049-9027,22-Feb-17,Web site URL no longer works
Journal of Dental Sciences and Research,0976-2841,22-Feb-17,Inactive (has not published in the last calendar year)
Lapis Lazuli : an International Literary Journal,2249-4529,22-Feb-17,Journal not adhering to Best practice
Acta Geologica Slovaca,1338-0044,21-Feb-17,no OA and licence
La Mirada de Telemo,2073-0837,21-Feb-17,Journal not adhering to Best practice
ConTexto (Porto Alegre),1676-6016,21-Feb-17,Journal not adhering to Best practice
KalbÅ_ Studijos,1648-2824,21-Feb-17,no licence
Ukrainica Bioorganica Acta,1814-9758,20-Feb-17,no OA and licence
Theory and Applications of Mathematics & Computer Science,2247-6202,20-Feb-17,Journal not adhering to Best practice
Western Journal of Legal Studies,1927-9132,20-Feb-17,Journal not adhering to Best practice
Canadian Political Science Review,1911-4125,20-Feb-17,Journal not adhering to Best practice
Journal of the Canadian Academy of Child and Adolescent Psychiatry,1719-8429,20-Feb-17,Journal not adhering to Best practice
Journal of Applied Economics and Business Research,1927-033X,20-Feb-17,Journal not adhering to Best practice
"Decolonization : Indigeneity, Education & Society",1929-8692,20-Feb-17,Journal not adhering to Best practice
Mevlana International Journal of Education,2146-7951,20-Feb-17,Journal not adhering to Best practice
The Online Journal of New Horizons in Education,2146-7374,20-Feb-17,Journal not adhering to Best practice
Alternatives : Turkish Journal of International Relations,2146-0809,20-Feb-17,Journal not adhering to Best practice
Critical Education,1920-4175,20-Feb-17,Journal not adhering to Best practice
TOJSAT,2146-7390,20-Feb-17,Journal not adhering to Best practice
Stellenbosch Theological Journal,2413-9467,20-Feb-17,Journal not adhering to Best practice
International Journal of Latest Trends in Engineering and Technology,2319-3778,20-Feb-17,Journal not adhering to Best practice
International Journal of Innovations in Engineering and Technology,2319-1058,20-Feb-17,Journal not adhering to Best practice
Rasayan Journal of Chemistry,0974-1496,20-Feb-17,Journal not adhering to Best practice
Middle East Journal of Digestive Diseases,2008-5230,20-Feb-17,Journal not adhering to Best practice
Journal of Rafsanjan University of Medical Sciences,1735-3165,20-Feb-17,Journal not adhering to Best practice
Erhvervshistorisk Ã…rbog,0071-1152,20-Feb-17,Journal not adhering to Best practice
"Revista de la Sociedad OtorrinolaringolÃ_gica de Castilla y LeÃ_n, Cantabria y La Rioja",2171-9381,20-Feb-17,Journal not adhering to Best practice
Economia Aplicada,1413-8050,20-Feb-17,Journal not adhering to Best practice
Revista EletrÃ´nica de Sistemas de InformaÃ§Ã£o,1677-3071,20-Feb-17,Journal not adhering to Best practice
International Cardiovascular Research Journal,2251-9130,20-Feb-17,Journal not adhering to Best practice
Studies In African Linguistics,0039-3533,20-Feb-17,Journal not adhering to Best practice
Jurnal Akuntansi dan Keuangan,1411-0288,20-Feb-17,Journal not adhering to Best practice
Jurnal Teknik Mesin,1410-9867,20-Feb-17,Journal not adhering to Best practice
European Psychomotricity Journal,1791-3837,20-Feb-17,Journal not adhering to Best practice
Review of Economic and Business Studies (REBS),1843-763X,20-Feb-17,Journal not adhering to Best practice
Early Modern Literary Studies,1201-2459,20-Feb-17,Journal not adhering to Best practice
Iranian Journal of Microbiology,2008-3289,20-Feb-17,Journal not adhering to Best practice
Iranian Journal of Public Health,2251-6085,20-Feb-17,Journal not adhering to Best practice
Iranian Journal of Health and Environment,2008-2029,20-Feb-17,Journal not adhering to Best practice
"Iranian Journal Of Allergy, Asthma and Immunology",1735-1502,20-Feb-17,Journal not adhering to Best practice
Pakistan Journal of Chemistry,2220-2625,20-Feb-17,Journal not adhering to Best practice
Research and Science Today,2247-4455,20-Feb-17,Journal not adhering to Best practice
Lambda Nordica,1100-2573,20-Feb-17,Journal not adhering to Best practice
IOP Conference Series : Earth and Environmental Science ,1755-1307,20-Feb-17,Journal not adhering to Best practice
Conservation Evidence,1758-2067,20-Feb-17,Journal not adhering to Best practice
International Journal of Basic Medical Sciences and Pharmacy ,2049-4963,20-Feb-17,Suspected editorial misconduct by publisher
Journal of Regional & Socio-Economic Issues,2049-1395,20-Feb-17,Journal not adhering to Best practice
Mathematical and Computational Forestry & Natural-Resource Sciences ,1946-7664,20-Feb-17,Journal not adhering to Best practice
International Journal of Cloud Computing and Services Science (IJ-CLOSER),2089-3337,20-Feb-17,Journal not adhering to Best practice
Ä°nsan & Toplum Dergisi,2146-7099,20-Feb-17,Journal not adhering to Best practice
TÃ_rk NÃ¶roloji Dergisi,1301-062X,20-Feb-17,Journal not adhering to Best practice
"Sport si Societate : Revista de Educatie Fizica, Sport si Stiinte Conexe",1582-2168,20-Feb-17,Journal not adhering to Best practice
Cambodian Journal of Natural History,2226-969X,20-Feb-17,Journal not adhering to Best practice
Journal of Networks,1796-2056,20-Feb-17,Journal not adhering to Best practice
Journal of Multimedia,1796-2048,20-Feb-17,Journal not adhering to Best practice
Tamkang Journal of Mathematics,0049-2930,20-Feb-17,Journal not adhering to Best practice
Journal of Veterinary Science,1229-845X,20-Feb-17,Journal not adhering to Best practice
International Journal of Automation and Smart Technology,2223-9766,20-Feb-17,Journal not adhering to Best practice
International Journal of Wireless and Microwave Technologies,2076-1449,20-Feb-17,Journal not adhering to Best practice
Taiwan Journal of Linguistics,1729-4649,20-Feb-17,Journal not adhering to Best practice
Work Based Learning e-Journal,2044-7868,20-Feb-17,Journal not adhering to Best practice
Agricultural Engineering International : The CIGR e-journal,1682-1130,20-Feb-17,Journal not adhering to Best practice
BioResources,1930-2126,20-Feb-17,Journal not adhering to Best practice
Molecular Therapy - Oncolytics,2372-7705,20-Feb-17,Journal is no longer Open Access
Nucleus,1678-6602,19-Feb-17,Journal not adhering to Best practice
Acta Iguazu,2316-4093,19-Feb-17,Journal not adhering to Best practice
Boletim de Geografia,0102-5198,19-Feb-17,Journal not adhering to Best practice
International Journal of Computer Applications and Information Technology,2278-7720,19-Feb-17,Journal not adhering to Best practice
Tusculum: ÄŒasopis za Solinske Teme,1846-9469,19-Feb-17,Journal not adhering to Best practice
Global Media Journal : Mediterranean Edition,1450-4154,19-Feb-17,Journal not adhering to Best practice
International Journal of Thermodynamics,1301-9724,19-Feb-17,Journal not adhering to Best practice
Romanticism and Victorianism on the Net,1916-1441,18-Feb-17,Journal not adhering to Best practice
Bulgarian e-Journal of Archaeology,1314-5088,18-Feb-17,Journal not adhering to Best practice
PeriÃ_dico TchÃª QuÃ_mica,1806-0374,17-Feb-17,Journal not adhering to Best practice
La Aljaba (LujÃ¡n),1669-5704,17-Feb-17,Journal not adhering to Best practice
Cuadernos de Relaciones Laborales,1988-2572,17-Feb-17,Journal not adhering to Best practice
Memoria Americana,1851-3751,17-Feb-17,Journal not adhering to Best practice
Res Diachronicae Virtual,1887-3553,17-Feb-17,Journal not adhering to Best practice
Entelequia: Revista Interdisciplinar,1885-6985,17-Feb-17,Journal not adhering to Best practice
Revista TecnologÃ_a y Sociedad,2314-3037,17-Feb-17,Journal not adhering to Best practice
Revista de la AsociaciÃ_n EspaÃ±ola de NeuropsiquiatrÃ_a,2340-2733,17-Feb-17,Journal not adhering to Best practice
"Revista GlobalizaciÃ_n, Competitividad y Gobernabilidad",1988-7116,17-Feb-17,Journal not adhering to Best practice
Revista de ArqueologÃ_a HistÃ_rica Argentina y Latinoamericana,2344-9918,17-Feb-17,Journal not adhering to Best practice
Revista de NegÃ_cios,1980-4431,17-Feb-17,No OA statement
Revista JurÃ_dica do Cesuca,2317-9554,17-Feb-17,Journal not adhering to Best practice
Rege : Revista de GestÃ£o ,2177-8736,17-Feb-17,Journal not adhering to Best practice
 BreviÃ¡rio de Filosofia PÃºblica,2236-420X,17-Feb-17,Journal not adhering to Best practice
Iraqi Journal for Electrical and Electronic Engineering,2078-6069,17-Feb-17,Journal not adhering to Best practice
The Lex-Warrier: Online Law Journal,2319-8338,17-Feb-17,Journal not adhering to Best practice
Research Cell : An International Journal of Engineering Sciences,2320-0332,17-Feb-17,Journal not adhering to Best practice
International Electronic Journal of Mathematics Education,1306-3030,15-Feb-17,Ceased publishing
Healthline,2229-337X,15-Feb-17,Journal not adhering to Best practice
Bulgarian Journal of Veterinary Medicine,1311-1477,15-Feb-17,Journal not adhering to Best practice
Mathematica Aeterna,1314-3336,15-Feb-17,Journal not adhering to Best practice
International Journal of Combinatorial Optimization Problems and Informatics,2007-1558,15-Feb-17,Journal not adhering to Best practice
International Journal of Green and Herbal Chemistry,2278-3229,15-Feb-17,Journal not adhering to Best practice
International Journal of Electronics Communication and Computer Technology,2249-7838,15-Feb-17,Journal not adhering to Best practice
"Journal of Mathematical Physics, Analysis, Geometry",1812-9471,14-Feb-17,no OA statement no licence
BarbarÃ_i,1982-2022,12-Feb-17,Journal not adhering to Best practice
Revista PrÃ¡xis Educacional,1809-0249,12-Feb-17,Journal not adhering to Best practice
Journal of International Relations,1336-1562,12-Feb-17,Web site URL no longer works
Journal on Efficiency and Responsibility in Education and Science,2336-2375,12-Feb-17,no OA statement no licence
AGRIS,1804-1930,11-Feb-17,Journal not adhering to Best practice
International Economics Letters,1805-7306,11-Feb-17,Web site URL no longer works
Constitutional Forum constitutionnel,0847-3889,11-Feb-17,Journal not adhering to Best practice
KultÅ«ra ir VisuomenÄ—,2029-4573,11-Feb-17,Web site URL no longer works
Evidence,2280-6288,10-Feb-17,Journal not adhering to Best practice
Revista Estudos PolÃ_ticos,2177-2851,10-Feb-17,Journal not adhering to Best practice
International Journal of Fundamental Physical Sciences,2231-8186,10-Feb-17,Journal not adhering to Best practice
"Journal of Environmental Sciences, Computer Science and Engineering & Technology",2278-179X,10-Feb-17,Journal not adhering to Best practice
International Economics Studies,2008-9643,10-Feb-17,Inactive (has not published in the last calendar year)
CiÃªncia & MaÃ§onaria,2318-0129,9-Feb-17,Journal not adhering to Best practice
Armenian Journal of Mathematics,1829-1163,9-Feb-17,Journal not adhering to Best practice
Revista del Centro de InvestigaciÃ_n. Universidad La Salle,1405-6690,9-Feb-17,Journal not adhering to Best practice
The European Journal of Psychiatry,2340-4469,9-Feb-17,Embargo on articles
Universidad y Empresa,0124-4639,9-Feb-17,Journal not adhering to Best practice
sehepunkte : Rezensionsjournal fÃ_r die Geschichtswissenschaften,1618-6168,8-Feb-17,No info on license
Revista Brasileira em PromoÃ§Ã£o da SaÃºde,1806-1222,7-Feb-17,Journal not adhering to Best practice
International Journal of Fundamental and Applied Sciences,2278-1404,7-Feb-17,Journal not adhering to Best practice
Workplace : A Journal for Academic Labor,1715-0094,7-Feb-17,Journal not adhering to Best practice
Journal of Cave and Karst Studies,1090-6924,7-Feb-17,Journal not adhering to Best practice
Anthropoetics : the Journal of Generative Anthropology,1083-7264,7-Feb-17,Journal not adhering to Best practice
"Annals of the University Dunarea de Jos Galati, Fascicle XV : Physical Education and Sport Management",1454-9832,7-Feb-17,Journal not adhering to Best practice
Journal of Marine Animals and Their Ecology,1911-8929,7-Feb-17,Journal not adhering to Best practice
Canadian Journal of Rural Medicine,1488-237X,7-Feb-17,Journal not adhering to Best practice
Current Oncology,1718-7729,7-Feb-17,Journal not adhering to Best practice
Journal of Military and Strategic Studies,1488-559X,7-Feb-17,Journal not adhering to Best practice
McGill Science Undergraduate Research Journal,1718-0775,7-Feb-17,Journal not adhering to Best practice
International Journal of Marine Science,1927-6648,7-Feb-17,Journal not adhering to Best practice
FÃªnix: Revista de HistÃ_ria e Estudos Culturais,1807-6971,6-Feb-17,Journal not adhering to Best practice
"Asian Journal of Engineering, Sciences & Technology",2077-1142,6-Feb-17,Journal not adhering to Best practice
Armenian Journal of Mathematics,1829-1163,4-Feb-17,Journal not adhering to Best practice
Ecotoxicology and Environmental Contamination,2236-1693,3-Feb-17,Not complying to the BOAI
International Journal of Computer & Communication Engineering Research,2321-4198,3-Feb-17,Journal not adhering to Best practice
Hope's Reason : A Journal of Apologetics,1923-8193,2-Feb-17,Has not published enough articles
Oklahoma Native Plant Record,1536-7738,2-Feb-17,Journal not adhering to Best practice
Monthly Labor Review,0098-1818,2-Feb-17,Journal not adhering to Best practice
Etnolog,0353-4855,2-Feb-17,no OA statement no licence
Etnolog,0354-0316,2-Feb-17,no OA statement no licence
Comparative Law Journal of the Pacific ,1772-1644,2-Feb-17,Web site URL no longer works
Å iauliai Mathematical Seminar,1822-511X,1-Feb-17,site under reconstruction
Å_emdirbystÄ—,1392-3196,1-Feb-17,Journal not adhering to Best practice
International Journal of Applied Sciences and Biotechnology,2091-2609,1-Feb-17,Journal not adhering to Best practice
The Bioscan,0973-7049,1-Feb-17,Journal not adhering to Best practice
DiÃ¡logo de la Lengua,1989-1334,31-Jan-17,Inactive
Rect@,1575-605X,31-Jan-17,Journal not adhering to Best practice
Sanidad Militar,1887-8571,31-Jan-17,Journal not adhering to Best practice
Ratio Juris,1794-6638,31-Jan-17,Journal not adhering to Best practice
Revista Iberoamericana de PsicologÃ_a y Salud,1989-9246,31-Jan-17,Journal not adhering to Best practice
Cuadernos del CIMBAGE,1669-1830,31-Jan-17,Journal not adhering to Best practice
Altreitalie. International journal of studies on Italian migrations in the world,2385-0752,31-Jan-17,No longer OA
Nursing Reports,2039-4403,31-Jan-17,Journal not adhering to Best practice
Drugs and Therapy Studies,2038-9507,31-Jan-17,Inactive
African Review of Physics,2223-6589,31-Jan-17,Journal not adhering to Best practice
Journal of Comparative Politics,1337-7477,30-Jan-17,Journal not adhering to Best practice (one url per issue)
Prilozi: Makedonska Akademija na Naukite i Umetnostite,0351-3254,30-Jan-17,Journal not adhering to Best practice
Informatics in Education,1648-5831,29-Jan-17,no OA statement no licence
Lithuanian Foreign Policy Review,1392-5504,29-Jan-17,no OA statement no licence
MorfologÃ¬Ã¢,1997-9665,29-Jan-17,no OA statement no licence
Teknokultura: Revista de Cultura Digital y Movimientos Sociales,1549-2230,29-Jan-17,Journal not adhering to Best practice
Cuadernos de GestiÃ_n,1131-6837,29-Jan-17,Journal not adhering to Best practice
Machine Design,1821-1259,28-Jan-17,no OA statement no licence
Microwave Review,1450-5835,28-Jan-17,Web site URL no longer works
Revista CrÃ_tica HistÃ_rica,2177-9961,26-Jan-17,Journal not adhering to Best practice
TAC : Tecnologias de AdministraÃ§Ã£o e Contabilidade,2236-0263,26-Jan-17,Journal not adhering to Best practice
Mineralogia,1899-8526,26-Jan-17,Ceased publishing
Socialist Studies,1918-2821,26-Jan-17,No license
Tethys : Journal of Mediterranean Meteorology & Climatology,1139-3394,26-Jan-17,Journal not adhering to Best practice
Journal of Biodiversity and Ecological Sciences,2008-9287,25-Jan-17,Inactive (has not published in the last calendar year)
Pesquisa Operacional para o Desenvolvimento,1984-3534,24-Jan-17,Journal not adhering to Best practice
InfoComp,1807-4545,24-Jan-17,Journal not adhering to Best practice
Trama y Fondo: Revista de Cultura,1137-4802,23-Jan-17,Journal not adhering to Best practice
AretÃ© : Revista de FilosofÃ_a,2223-3741,23-Jan-17,Journal not adhering to Best practice
RLA : Revista de LingÃ_Ã_stica TeÃ_rica y Aplicada,0718-4883,23-Jan-17,Journal not adhering to Best practice
Foro de Profesores de E/LE,1886-337X,23-Jan-17,Journal not adhering to Best practice
Revista de Salud Animal,2224-4700,23-Jan-17,Journal not adhering to Best practice
AcciÃ_n PedagÃ_gica (San CristÃ_bal),1315-401X,23-Jan-17,Journal not adhering to Best practice
Dugesiana,1028-3420,23-Jan-17,Journal not adhering to Best practice
e-Journal of Business Education & Scholarship of Teaching,1835-9132,24-Jan-17,Journal not adhering to Best practice
Contributions to Zoology,1875-9866,24-Jan-17,Journal not adhering to Best practice
South Africa Heart Journal ,2071-4602,24-Jan-17,Journal not adhering to Best practice
Southern African Business Review,1998-8125,24-Jan-17,Journal not adhering to Best practice
Informatologia,1330-0067,24-Jan-17,No licence
Heron,1574-4078,24-Jan-17,Journal not adhering to Best practice
International Journal of Communication,1932-8036,24-Jan-17,Journal not adhering to Best practice
"Annual Review of Education, Communication and Language Sciences",1743-159X,24-Jan-17,Has not published enough articles this calendar year;
Dalhousie Journal of Interdisciplinary Management,1923-6530,24-Jan-17,Journal not adhering to Best practice
Papers on Social Representations,1819-3978,24-Jan-17,Journal not adhering to Best practice
ExpediÃ§Ãµes/Expeditions: Teoria da HistÃ_ria e Historiografia,2179-6386,23-Jan-17,Journal not adhering to Best practice
InformaciÃ_n TecnolÃ_gica,0716-8756,23-Jan-17,Journal not adhering to Best practice
Journal of Internet Banking and Commerce,1204-5357,24-Jan-17,Journal not adhering to Best practice
Revista Iberoamericana de EducaciÃ_n,1022-6508ï»¿,23-Jan-17,Journal not adhering to Best practice
Journal of Curriculum Theorizing,1942-2563,24-Jan-17,Journal not adhering to Best practice
Culture Machine,1465-4121,24-Jan-17,Journal not adhering to Best practice
e-Journal of Organizational Learning and Leadership,2154-8927,24-Jan-17,Has not published enough articles this calendar year;
The Pantaneto Forum,1741-1572,24-Jan-17,Journal not adhering to Best practice
Australian Prescriber,0312-8008,24-Jan-17,Journal not adhering to Best practice
Literary London Journal,1744-0807,24-Jan-17,Journal not adhering to Best practice
Estudos ContemporÃ¢neos da Subjetividade,2237-941X,23-Jan-17,Journal not adhering to Best practice
Amsterdam Law Forum,1876-8156,24-Jan-17,Journal not adhering to Best practice
Sustentabilidade em Debate,2177-7675,23-Jan-17,Journal not adhering to Best practice
Annales Instituti Archaeologici,1845-4046,22-Jan-17,no licence
Kriminologija i Socijalna Integracija,1330-2604,22-Jan-17,no licence
MetodiÄçki Ogledi,0353-765X,22-Jan-17,no licence
Zbornik Radova Pravnog Fakulteta u Splitu,0584-9063,22-Jan-17,no licence
Geoadria,1331-2294,21-Jan-17,no licence
Kemija u Industriji,0022-9830,21-Jan-17,no licence
Synthesis Philosophica,0352-7875,21-Jan-17,not open access
Radovi Zavoda za Znanstveni Rad VaraÅ_din,0352-9509,21-Jan-17,no licence
Agriculturae Conspectus Scientificus ,1331-7768,21-Jan-17,no licence
Geodetski List,0016-710X,21-Jan-17,no licence
Bulletin of the International Association for Paleodontology,1846-6273,21-Jan-17,no licence
Medicina,0025-7729,21-Jan-17,no licence
Drvna Industrija,Dec-72,21-Jan-17,no licence
Ekonomski Pregled,0424-7558,21-Jan-17,no licence
Sigurnost,0350-6886,21-Jan-17,no licence
TrÅ_iÅ¡te/Market ,0353-4790,21-Jan-17,no licence
Ljetopis Studijskog Centra Socijalnog Rada,1846-5412,21-Jan-17,no licence
AnuÃ¡rio do Instituto de GeociÃªncias,0101-9759,20-Jan-17,Web site URL no longer works
International Journal of Computer Science Issues,1694-0814,19-Jan-17,Journal not adhering to Best practice
Texas Heart Institute Journal,0730-2347,19-Jan-17,Journal not adhering to Best practice
Revista Estudos Hum(e)anos,2177-1006,18-Jan-17,Journal not adhering to Best practice
 Advanced Computational Techniques in Electromagnetics,2194-0266,18-Jan-17,inactive
Aemaet,2195-173X,18-Jan-17,Journal not adhering to Best practice
Constructions,1860-2010,18-Jan-17,Journal not adhering to Best practice
Indian Journal of Computer Science and Engineering,0976-5166,17-Jan-17,Suspected editorial misconduct by publisher
International Journal of Engineering Science and Technology,0975-5462,17-Jan-17,Suspected editorial misconduct by publisher
International Journal on Computer Science and Engineering,0975-3397,17-Jan-17,Suspected editorial misconduct by publisher
Trends in Evolutionary Biology,2036-265X,16-Jan-17,stopped publishing
Theoretical and Applied Mechanics,1450-5584,16-Jan-17,Web site URL no longer works
Geodiversitas,1280-9659,14-Jan-17,Journal not adhering to Best practice
"International Journal of Engineering, Social Justice, and Peace",1927-9434,14-Jan-17,Journal not adhering to Best practice
Revista LusÃ_fona de EducaÃ§Ã£o,1645-7250,11-Jan-17,Journal not adhering to Best practice
Brock Education : a Journal of Educational Research and Practice,1183-1189,10-Jan-17,ISSN not registered
"GMS Current Topics in Otorhinolaryngology, Head and Neck Surgery",1865-1011,10-Jan-17,Journal not adhering to Best practice
TESL Canada Journal,1925-8917,10-Jan-17,Missing license and copyright statement
"International Journal of Information, Business and Management",2076-9202,10-Jan-17,Suspected editorial misconduct by publisher
Finance ContrÃ´le StratÃ©gie,1287-1141,9-Jan-17,Journal not adhering to Best practice
Journal of English Language Teaching and Linguistics,2503-1848,9-Jan-17,Suspected editorial misconduct by publisher
The Journal of Analytic Theology,2330-2380,9-Jan-17,Journal not adhering to Best practice
Italian Journal of Engineering Geology and Environment,2035-5688,6-Jan-17,no OA statement
Archivos de Medicina Veterinaria,0717-6201,6-Jan-17,no OA statement
OpciÃ_n,1012-1587,6-Jan-17,Journal not adhering to Best practice
Cuadernos de Medicina Forense,1135-7606,6-Jan-17,no OA statement
Heterocyclic Letters,2230-9632,6-Jan-17,Journal not adhering to Best practice
3 Biotech,2190-5738,6-Jan-17,Journal is no longer Open Access
In Silico Pharmacology,2193-9616,6-Jan-17,Journal is no longer Open Access
Journal of Remanufacturing,2210-4690,6-Jan-17,Journal is no longer Open Access
Science China Life Sciences,1869-1889,6-Jan-17,Journal is no longer Open Access
Integrating Materials and Manufacturing Innovation,2193-9772,6-Jan-17,Journal is no longer Open Access
EPMA Journal,1878-5085,6-Jan-17,Journal is no longer Open Access
MÃ_etagused,1406-992X,4-Jan-17,Journal is not Open Access
Folklore,1406-0957,4-Jan-17,Journal is not Open Access
Basic Research Journal of Agriculture Science and Review,2315-6880,4-Jan-17,Journal not adhering to Best practice
Solutions Journal,2154-0926,4-Jan-17,Journal not adhering to Best practice
"Journal of Language, Technology & Entrepreneurship in Africa",2309-5814,4-Jan-17,Journal not adhering to Best practice
Journal of Library Innovation,1947-525X,4-Jan-17,ceased publication 
Journal of Teaching and Learning with Technology,2165-2554,4-Jan-17,Journal not adhering to Best practice
The Sedimantary Record,1543-8740,4-Jan-17,Journal not adhering to Best practice
KCA Journal of Business Management,2072-7992,4-Jan-17,Journal not adhering to Best practice
International Journal of Computer Information Systems and Industrial Management Applications,2150-7988,4-Jan-17,Journal not adhering to Best practice
World Applied Programming,2222-2510,4-Jan-17,Journal not adhering to Best practice
The Permanente Journal,1552-5775,4-Jan-17,journal no longer open access
Akroterion,2079-2883,4-Jan-17,Journal not adhering to Best practice
Preventing Chronic Disease,1545-1151,4-Jan-17,Journal not adhering to Best practice
Journal of Genomics,1839-9940,4-Jan-17,not enough articles in 2016
Plant Gene,2352-4073,4-Jan-17,Journal is no longer Open Access
Revista Cubana de Ciencias BiolÃ_gicas,2307-695X,3-Jan-17,Web site URL no longer works
Tradition & Discovery : the Polanyi Society Periodical,2154-1566,3-Jan-17,Journal not adhering to Best practice
Journal of Politics in Latin America,1868-4890,3-Jan-17,Journal not adhering to Best practice
Afrikanistik Online,1860-7462,3-Jan-17,Journal not adhering to Best practice
Mathematics and Mechanics of Complex Systems,2325-3444,3-Jan-17,Journal not adhering to Best practice
en Access Journal of Forensic Psychology,1948-5115,3-Jan-17,Journal not adhering to Best practice
Philosophy and Public Issues,2240-7987,3-Jan-17,Journal not adhering to Best practice
Biblica : Commentarii ad rem Biblicam Scientifice Investigandam,2385-2062,3-Jan-17,Missing OA statement
Barroco,1941-174X,3-Jan-17,Inactive journal
Revista de la Sociedad EspaÃ±ola del Dolor,1134-8046,3-Jan-17,Journal not adhering to Best practice
Cadernos de Logepa,2237-7522,3-Jan-17,Inactive journal
Beden EÄŸitimi ve Spor Bilim Dergisi,1300-9915,2-Jan-17,Web site URL no longer works
Turkish Journal of Sport and Exercise,2147-5652,2-Jan-17,Web site URL no longer works
